EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES - EBSERH;;;;;;;;;
HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO MARANHÃO - HU-UFMA;;;;;;;;;
;;;;;;;;;
MOVIMENTAÇÃO FINANCEIRA;;;;;;;;;
ATUALIZADO ATÉ: NOVEMBRO/2020;;;;;;;;;
;;;;;;;;;
MÊS;DATA DE RECEBIMENTO;CÓDIGO UG EMITENTE;DESCRIÇÃO DA UG EMITENTE;CATEGORIA DO GASTO;PROGRAMAÇÃO FINANCEIRA;VINCULAÇÃO DO PAGAMENTO;CÓDIGO DA FONTE DO RECURSO;OBSERVAÇÃO;VALOR
FEV;05/02/2020;155901;EBSERH HE-UFPEL;OUTRAS DESPESAS CORRENTES;155901264432020PF000001;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300;EM ATENDIMENTO AO PROCESSO SEI Nº 23523.000576/2019-91, ENVIO DE RECURSO FINANCEIRO PARA RESSARCIMENTO DA REALIZACAO DE EXAMES HISTOPATOLOGICOS PARA O HOSPITAL ESCOLA-UFPEL, CONFORME 2020NC000001.;R$ 237,88
FEV;06/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000502;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915002; REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 05.02.20. ;R$ 742,00
FEV;06/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000503;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8250264430;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 05.02.20.;R$ 68.306,97
FEV;06/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000504;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 05.02.20.;R$ 35.947,59
FEV;06/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000624;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300;REPASSE FINANCEIRO CONFORME APURACAO EM 06.02.2020 - TETO MAC - PARCELA 01/2020 - COMP. 12/2019;R$ 1.434.280,15
FEV;06/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000625;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300;REPASSE FINANCEIRO CONFORME APURACAO EM 06.02.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019;R$ 8.000,00
FEV;06/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000640;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000400;REPASSE FINANCEIRO CONFORME APURACAO EM 06.02.2020 - FAEC     - PARCELA E COMP. 12/2019;R$ 111.720,35
FEV;06/02/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000030;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;TRANSFERENCIA DE RECURSO FINANCEIRO REF. EMENDA PARLAMENTAR: 71110011 PTRES:151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803006 AUOTOR: BANCADA DO MARANHAO.ŽREF. 2019PF055287(150014/0001);R$ 7.750,00
FEV;06/02/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000031;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;TRANSFERENCIA DE RECURSO FINANCEIRO REF. EMENDA PARLAMENTAR: 71110011 PTRES:151404 UO: 26394 UG: 155010 EMPENHO: 2019NE802975 AUOTOR: BANCADA DO MARANHAO.ŽREF. 2019PF055252(150014/0001);R$ 41.910,62
FEV;06/02/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000032;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;TRANSFERENCIA DE RECURSO FINANCEIRO REF. EMENDA PARLAMENTAR: 71110011 PTRES:151404 UO: 26394 UG: 155010 EMPENHO: 2019NE802967 AUOTOR: BANCADA DO MARANHAO.ŽREF. 2019PF055231(150014/0001);R$ 123.680,00
FEV;06/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000495;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100150714;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 05.02.20.;R$ 50.834,86
FEV;13/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000767;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300; REPASSE FINANCEIRO CONFORME APURACAO EM 12.02.2020 - TETO MAC - PARCELA 01/2020 - COMP. 12/2019 ;R$ 723.617,07
FEV;13/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000768;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300;REPASSE FINANCEIRO CONFORME APURACAO EM 12.02.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019;R$ 35.889,09
FEV;13/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000783;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000400;REPASSE FINANCEIRO CONFORME APURACAO EM 12.02.2020 - FAEC     - PARCELA E COMP. 12/2019;R$ 36.713,01
FEV;13/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000790;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107; REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 12.02.20. ;R$ 4.813,81
FEV;14/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000829; CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2 ;8100915002; REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 12.02.20. ;R$ 122,79
FEV;14/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000873;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300; REPASSE FINANCEIRO CONFORME APURACAO EM 13.02.2020 - TETO MAC - PARCELA 02/2020 - COMP. 01/2020 ;R$ 2.139.198,68
FEV;14/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000874;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300; REPASSE FINANCEIRO CONFORME APURACAO EM 13.02.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019 ;R$ 6.000,00
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440316;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151003874;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000213391201970 - MA/EBSERH HU-UFMA - 155010-26443;R$ 808.255,52
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440317;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151001251;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000086631201876 - MA/EBSERH HU-UFMA - 155010-26443;R$ 16.612,00
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440340;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151002171;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000138754201981 - MA/EBSERH HU-UFMA - 155010-26443;R$ 27.720,44
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440389;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151019459;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000064498201988 - MA/EBSERH HU-UFMA - 155010-26443;R$ 9.869,58
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440458;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151001416;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000108626201911 - MA/EBSERH HU-UFMA - 155010-26443;R$ 45.532,52
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440485;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151002582;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000156894201850 - MA/EBSERH HU-UFMA - 155010-26443;R$ 9.028,90
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440503;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151002788;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000178188201940 - MA/EBSERH HU-UFMA - 155010-26443;R$ 659.982,79
FEV;14/02/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;INVESTIMENTO;257001000012020PF440292;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151019460;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. JAN DE 2020 - PROC. 25000064494201908 - MA/EBSERH HU-UFMA - 155010-26443;R$ 20.940,00
FEV;20/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000940;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300;REPASSE FINANCEIRO CONFORME APURACAO EM 19.02.2020 - TETO MAC - PARCELA 02/2020 - COMP. 01/2020;R$ 57.406,60
FEV;20/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF000961;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915002;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 19.02.20.;R$ 1.334,81
FEV;20/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF001018;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000400;REPASSE FINANCEIRO CONFORME APURACAO EM 19.02.2020 - FAEC     - PARCELA E COMP. 12/2019;R$ 6.859,10
FEV;20/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF001070;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300;REPASSE FINANCEIRO CONFORME APURACAO EM 19.02.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019;R$ 18.907,00
FEV;27/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF001102;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915002; REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 27.02.20. ;R$ 3.902,79
FEV;27/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF001103;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100915107;REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 27.02.20.;R$ 7.605,14
FEV;27/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF001174;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6300000300;REPASSE FINANCEIRO CONFORME APURACAO EM 27.02.2020 - TETO MAC - PARCELA 12/2019 - COMP. 11/2019;R$ 5.628,50
FEV;27/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;INVESTIMENTO;155007264432020PF001101;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;8100150714; REPASSE FINANCEIRO REFERENTE A OCC EBSERH CONFORME APURACAO EM 27.02.20. ;R$ 33.750,00
FEV;28/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF001227;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000300;REPASSE FINANCEIRO CONFORME APURACAO EM 27.02.2020 - TETO MAC - PARCELA 02/2020 - COMP. 01/2020;R$ 4.021.995,36
FEV;28/02/2020;155007;EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES;OUTRAS DESPESAS CORRENTES;155007264432020PF001248;PAG.DE DESPESA OBRIGATORIA- RESUL.PRIM=1;6153000400;REPASSE FINANCEIRO CONFORME APURACAO EM 27.02.2020 - FAEC     - PARCELA E COMP. 12/2019;R$ 82.442,80
MAR;02/03/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440669;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151003874;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. DEZ DE 2019 - PROC. 25000213391201970 - MA/EBSERH HU-UFMA - 155010-26443;R$ 112.382,05
MAR;02/03/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440717;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151019459;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. DEZ DE 2019 - PROC. 25000064498201988 - MA/EBSERH HU-UFMA - 155010-26443;R$ 20.043,94
MAR;03/03/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440942;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151002171;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. DEZ DE 2019 - PROC. 25000138754201981 - MA/EBSERH HU-UFMA - 155010-26443;R$ 119.503,50
MAR;03/03/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF440974;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151001416;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. DEZ DE 2019 - PROC. 25000108626201911 - MA/EBSERH HU-UFMA - 155010-26443;R$ 100.729,58
MAR;03/03/2020;257001;DIRETORIA EXECUTIVA DO FUNDO NAC. DE SAUDE;OUTRAS DESPESAS CORRENTES;257001000012020PF441006;CUSTEIO/INVESTIMENTO - RESUL.PRIM = 2;151002788;PAG. ESTRAT. 61869-PROGRAMA DE RESTRUTURACAO DOS HOSPITAIS UNIVERSITARIOS (REHUF) - COMP. DEZ DE 2019 - PROC. 25000178188201940 - MA/EBSERH HU-UFMA - 155010-26443;R$ 296.955,42
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000052;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803614 AUTOR: BANCADA DO MARANHAO;R$ 342.000,00
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000053;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803733 AUTOR: BANCADA DO MARANHAO;R$ 234.000,00
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000054;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803911 AUTOR: BANCADA DO MARANHAO;R$ 189.480,00
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000055;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803482 AUTOR: BANCADA DO MARANHAO;R$ 106.400,00
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000056;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE802966 AUTOR: BANCADA DO MARANHAO;R$ 80.000,00
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000057;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803788 AUTOR: BANCADA DO MARANHAO;R$ 60.288,00
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000058;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803910 AUTOR: BANCADA DO MARANHAO;R$ 54.000,00
MAR;03/03/2020;154041;FUNDACAO UNIVERSIDADE DO MARANHAO;INVESTIMENTO;154041152582020PF000059;CUST/INV-EMENDAS IMPOSITIVAS DE BANCADA RP7;8188000000;LIBERACAO EMENDAS PARLAMENTARES - EMENDA: 71110011 PTRES: 151404 UO: 26394 UG: 155010 EMPENHO: 2019NE803813 AUTOR: BANCADA DO MARANHAO;R$ 40.000,00
